row_number	paiddeposit	scholarship_yes_no	Type_of_scholarship_offered	Female	Race	HS_rank	HS_class_size	HS_Quintile	HS_CODE	HS_NAME	SAT_math	SAT_verbal	ACT	Honors_college_eligible	distancefromPitt	state	Number_of_family_alumni	father_alumni	grand_alumni	mother_alumni	sibling_alumni	step_parent_alumni	other_family_alumni	SAT_composite	ACT_as_SAT	Max_Test_Score	Training	from_PA
613	0	0		1.00	white	35.0	174	1/5	392720	MONTOURSVILLE_AREA_HIGH	440.0	500.0		no	169.4684877290760000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	940		940	0.00	1.00
614	1	0		1.00	Asian	42.0	212	1/5	390655	THOMAS_JEFFERSON_HIGH_S	630.0	510.0		no	10.2850171665610000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1140		1140	0.00	1.00
615	1	0		1.00	white	25.0	92	2/5	393080	RIVERVIEW_HIGH_SCHOOL	570.0	540.0		no	7.1621335385584500	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1110		1110	0.00	1.00
616	0	1	U2	1.00	white	2.0	218	1/10	390230	BELLE_VERNON_AREA_HIGH	680.0	640.0		yes	21.6965237332406000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1320		1320	0.00	1.00
618	0	0		0.00	white	100.0	232	3/5	390045	HAMPTON_HIGH_SCHOOL	490.0	510.0		no	8.7562753615676400	PA	2	0.00	1.00	1.00	0.00	0.00	0.00	1000		1000	0.00	1.00
619	0	0		0.00	white	40.0	200	1/5	391295	MERCYHURST_PREPARATORY	580.0	560.0		no	115.4252054292240000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1140		1140	0.00	1.00
621	0	0		0.00	white	201.0	540	2/5	393125	PARKLAND_HIGH_SCHOOL	550.0	530.0		no	229.3729226965290000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1080		1080	0.00	1.00
623	0	0		0.00	white	37.0	116	2/5	390303	LOWER_MORELAND_HIGH_SCH	550.0	600.0		no	259.1858170260490000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1150		1150	0.00	1.00
629	0	0		1.00	white	117.0	346	2/5	394040	PLYMOUTH_WHITEMARSH_HIG	590.0	560.0		no	248.9494950769370000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1150		1150	0.00	1.00
633	0	0		0.00	not_indicated				311360	SCOTCH_PLAINS_FANWOOD_H	710.0	610.0		no	293.2009194393450000	NJ	0	0.00	0.00	0.00	0.00	0.00	0.00	1320		1320	0.00	0.00
639	0	0		1.00	white	50.0	222	2/5	392150	LANSDALE_CATHOLIC_HIGH	570.0	510.0		no	246.0145417606680000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1080		1080	0.00	1.00
640	0	1	U2	1.00	white	9.0	374	1/10	391645	CENTRAL_DAUPHIN_HIGH_SC	640.0	690.0		yes	166.8008341609950000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1330		1330	0.00	1.00
641	0	1	U2	1.00	white	63.0	386	1/5	395164	EAST_SENIOR_HIGH_SCHOOL	710.0	750.0	29.0	yes	232.3633823128400000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1460	1300	1460	0.00	1.00
643	0	0		0.00	black	126.0	257	3/5	393895	SCHENLEY_HIGH_SCH_TEACH	590.0	650.0		no	1.2058239902077800	PA	1	0.00	1.00	0.00	0.00	0.00	0.00	1240		1240	0.00	1.00
644	0	0		0.00	white	148.0	311	3/5	393707	UPPER_SAINT_CLAIR_HIGH	760.0	650.0		no	10.1367287607102000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1410		1410	0.00	1.00
645	1	0		1.00	white	176.0	499	2/5	395465	SENECA_VALLEY_SR_HIGH_S	570.0	430.0		no	21.8983072404043000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1000		1000	0.00	1.00
653	0	0		0.00	white	33.0	100	2/5	364805	CATHOLIC_CENTRAL_HIGH_S	680.0	510.0	25.0	no	35.7460154408383000	OH	0	0.00	0.00	0.00	0.00	0.00	0.00	1190	1150	1190	0.00	0.00
654	1	0		0.00	white	85.0	251	2/5	392735	MONTOUR_HIGH_SCHOOL	520.0	540.0		no	13.2796585170983000	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1060		1060	0.00	1.00
655	0	0		0.00	Asian	30.0	194	1/5	391710	WALLENPAUPACK_AREA_HIGH	570.0	570.0		no	258.5279472460810000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1140		1140	0.00	1.00
656	0	1	C4	0.00	white				391470	MINING_AND_MECHANICAL_I	750.0	770.0		yes	216.8139252128420000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1520		1520	0.00	1.00
657	1	0		1.00	white	9.0	713	1/10	392145	NESHAMINY_HIGH_SCHOOL	640.0	540.0		no	262.9794711652640000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1180		1180	0.00	1.00
659	1	0		1.00	white	122.0	219	3/5	390045	HAMPTON_HIGH_SCHOOL	560.0	550.0		no	12.5667002958527000	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1110		1110	0.00	1.00
661	0	0		0.00	white	16.0	209	1/10	390875	CORRY_AREA_HIGH_SCHOOL	510.0	610.0	23.0	no	103.4620813593700000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1120	1070	1120	0.00	1.00
662	1	0		1.00	white	41.0	163	2/5	393045	NORTH_EAST_HIGH_SCHOOL	550.0	470.0		no	121.7015136879460000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1020		1020	0.00	1.00
663	0	0		1.00	white	171.0	318	3/5	390560	CARLISLE_HIGH_SCHOOL_WE	560.0	550.0		no	146.2203201301400000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1110		1110	0.00	1.00
666	1	1	U2	0.00	white	6.0	128	1/10	394875	TROY_SENIOR_HIGH_SCHOOL	570.0	660.0		yes	191.0986093136300000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1230		1230	0.00	1.00
670	0	0		0.00	white	46.0	439	1/10	395327	WILLIAMSPORT_AREA_HIGH	550.0	560.0	21.0	no	162.4893134378460000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1110	990	1110	0.00	1.00
674	0	0		1.00	white				332628	JERICHO_SENIOR_HIGH_SCH	560.0	560.0		no	337.9308499376520000	NY	0	0.00	0.00	0.00	0.00	0.00	0.00	1120		1120	0.00	0.00
676	0	0		1.00	white	354.0	906	2/5	392985	COUNCIL_ROCK_HIGH_SCHOO	640.0	540.0		no	261.5341512732140000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1180		1180	0.00	1.00
677	0	0		0.00	white	12.0	177	1/10	390200	BEAVER_AREA_HIGH_SCHOOL	570.0	520.0		no	26.6542646268457000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1090		1090	0.00	1.00
679	0	0		0.00	black	100.0	541	1/5	333719	JOHN_F_KENNEDY_HIGH_SCH	620.0	490.0		no	318.8619002640320000	NY	0	0.00	0.00	0.00	0.00	0.00	0.00	1110		1110	0.00	0.00
680	0	0		1.00	black	110.0	385	2/5	393430	PHILADELPHIA_HIGH_SCHOO	570.0	430.0		no	253.7930312005730000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1000		1000	0.00	1.00
683	0	0		1.00	white	53.0	100	3/5	364805	CATHOLIC_CENTRAL_HIGH_S	520.0	640.0	28.0	no	37.5651476006504000	OH	0	0.00	0.00	0.00	0.00	0.00	0.00	1160	1260	1260	0.00	0.00
688	0	0		1.00	white	22.0	109	1/5	395308	LOYALSOCK_TOWNSHIP_SR_H	570.0	520.0	20.0	no	163.2580342847810000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1090	950	1090	0.00	1.00
689	0	0		0.00	white	377.0	906	3/5	392985	COUNCIL_ROCK_HIGH_SCHOO	640.0	520.0		no	256.9885026551210000	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1160		1160	0.00	1.00
690	0	0		0.00	white	74.0	425	1/5	391980	WILLIAM_TENNENT_HIGH_SC	590.0	650.0		no	256.9885026551210000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1240		1240	0.00	1.00
692	0	1	U1	1.00	white				390107	TORAH_ACADEMY_GREATER_P	660.0	580.0		no	260.4455940512900000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1240		1240	0.00	1.00
694	0	0		1.00	white	41.0	224	1/5	390025	ALLENTOWN_CENTRAL_CATHO	610.0	620.0		no	242.3291052379480000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1230		1230	0.00	1.00
695	0	0		1.00	black				330630	BROOKLYN_TECHNICAL_HIGH	580.0	510.0		no	316.6545733133610000	NY	0	0.00	0.00	0.00	0.00	0.00	0.00	1090		1090	0.00	0.00
698	1	0		1.00	white	157.0	376	3/5	395170	B_REED_HENDERSON_HIGH_S	640.0	600.0		no	232.3633823128400000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1240		1240	0.00	1.00
