Date,ZM,TSLA,log_zm,log_return
7/25/2019,97.110001,45.763999999999996,4.575844366903863,0.012121349983583052
7/26/2019,102.199997,45.608002,4.626931648415396,0.05108728151153308
7/29/2019,96.470001,47.153999,4.569232089548379,-0.05769955886701705
7/30/2019,95.489998,48.452,4.5590215090175095,-0.010210580530869429
7/31/2019,95.510002,48.321999,4.559230974986861,0.00020946596935189632
8/1/2019,95.099998,46.77,4.554928948520851,-0.004302026466010744
8/2/2019,93.660004,46.868,4.539671246463061,-0.015257702057789757
8/5/2019,89.690002,45.664001,4.496359302428941,-0.04331194403411942
8/6/2019,90.43,46.150002,4.504576070752389,0.008216768323447532
8/7/2019,92.449997,46.683997999999995,4.52666792538316,0.022091854630771124
8/8/2019,95.769997,47.66,4.561949452208478,0.03528152682531793
8/9/2019,94.199997,47.001999,4.545420149735183,-0.01652930247329465
8/12/2019,92.160004,45.801998,4.523526240350358,-0.021893909384825605
8/13/2019,95.449997,47.0,4.558602518741688,0.03507627839133054
8/14/2019,92.650002,43.924,4.528828974317985,-0.029773544423703058
8/15/2019,90.639999,43.127998,4.506895605687094,-0.021933368630890904
8/16/2019,92.529999,43.987999,4.527532905453633,0.020637299766538497
8/19/2019,93.16999799999999,45.366001000000004,4.534425759996196,0.006892854542563498
8/20/2019,91.410004,45.172001,4.515354925424615,-0.019070834571581763
8/21/2019,93.010002,44.166000000000004,4.53270703575744,0.017352110332825355
8/22/2019,93.879997,44.43,4.542017339027134,0.009310303269693954
8/23/2019,91.629997,42.279999,4.517758696236752,-0.02425864279038148
8/26/2019,91.760002,43.0,4.5191764946171045,0.0014177983803520533
8/27/2019,91.730003,42.816002000000005,4.51884951222624,-0.000326982390864039
8/28/2019,90.160004,43.118,4.501585914097093,-0.017263598129147795
8/29/2019,90.870003,44.341999,4.509429946721451,0.007844032624358732
8/30/2019,91.66999799999999,45.122002,4.518195150156296,0.008765203434844437
9/3/2019,92.459999,45.001999,4.526776107744592,0.008580957588296023
9/4/2019,93.529999,44.136002000000005,4.538282229754703,0.011506122010111142
9/5/2019,92.690002,45.916000000000004,4.529260613465042,-0.009021616289660805
9/6/2019,85.410004,45.490002000000004,4.447463236790979,-0.0817973766740634
9/9/2019,78.650002,46.358002,4.365007654933403,-0.08245558185757584
9/10/2019,80.349998,47.108002,4.3863920672924195,0.021384412359016558
9/11/2019,80.709999,49.419998,4.390862470946242,0.004470403653822785
9/12/2019,81.529999,49.174,4.400971038409396,0.010108567463153584
9/13/2019,78.849998,49.040001000000004,4.367547288044431,-0.03342375036496481
9/16/2019,80.66999799999999,48.562,4.390366734156519,0.02281944611208786
9/17/2019,84.639999,48.958,4.438406956295244,0.0480402221387255
9/18/2019,84.550003,48.698002,4.437343110826552,-0.001063845468692648
9/19/2019,84.620003,49.32,4.438170680744532,0.0008275699179804974
9/20/2019,82.629997,48.124001,4.414372774406666,-0.02379790633786616
9/23/2019,82.620003,48.245998,4.414251818279438,-0.00012095612722795579
9/24/2019,80.019997,44.641998,4.382276565938461,-0.031975252340977534
9/25/2019,79.599998,45.740002000000004,4.3770140677247085,-0.0052624982137521314
9/26/2019,79.75,48.512001,4.378896741664954,0.0018826739402451054
9/27/2019,76.040001,48.425999,4.331259530771201,-0.04763721089375217
9/30/2019,76.199997,48.174,4.333361423322521,0.0021018925513196507
10/1/2019,75.809998,48.938,4.328230183686468,-0.005131239636052776
10/2/2019,73.849998,48.625999,4.302035981895465,-0.026194201791002847
10/3/2019,76.83000200000001,46.605999,4.341595214911042,0.03955923301557629
10/4/2019,76.529999,46.285999,4.337682807755058,-0.0039124071559832885
10/7/2019,76.989998,47.543999,4.343675517312558,0.0059927095574998646
10/8/2019,73.589996,48.009997999999996,4.298509092583295,-0.045166424729263355
10/9/2019,72.860001,48.905998,4.288539805305369,-0.009969287277925787
10/10/2019,71.010002,48.948002,4.262820740359049,-0.025719064946319925
10/11/2019,71.349998,49.577999,4.2675973158920115,0.0047765755329622905
10/14/2019,70.800003,51.391998,4.259859043072555,-0.007738272819456604
10/15/2019,71.110001,51.577999,4.264227987958146,0.004368944885591475
10/16/2019,67.690002,51.950001,4.214938488066978,-0.049289499891168376
10/17/2019,67.029999,52.394001,4.205140265451173,-0.009798222615804875
10/18/2019,66.08000200000001,51.389998999999996,4.190866159479066,-0.014274105972106987
10/21/2019,65.769997,50.700001,4.186163761699757,-0.004702397779309031
10/22/2019,62.0,51.116001000000004,4.127134385045092,-0.059029376654665455
10/23/2019,62.060001,50.936001,4.1281016751336725,0.0009672900885808744
10/24/2019,64.519997,59.936001,4.166975206759797,0.03887353162612417
10/25/2019,63.450001,65.625999,4.150252209920838,-0.016722996838958615
10/28/2019,66.559998,65.542,4.198103766464875,0.047851556544037166
10/29/2019,65.489998,63.243999,4.181897428690948,-0.016206337773927437
10/30/2019,70.0,63.001999,4.248495242049359,0.06659781335841153
10/31/2019,69.889999,62.984001,4.246922563180839,-0.0015726788685199722
11/1/2019,70.389999,62.661999,4.254051193413477,0.007128630232637434
11/4/2019,70.120003,63.493999,4.250208102836832,-0.00384309057664467
11/5/2019,66.889999,63.443999999999996,4.203049464180399,-0.047158638656433105
11/6/2019,66.83000200000001,65.316002,4.202152111449658,-0.0008973527307407636
11/7/2019,66.809998,67.108002,4.201852740001747,-0.00029937144791158943
11/8/2019,69.849998,67.428001,4.2463500570701855,0.044497317068438846
11/11/2019,68.389999,69.01799799999999,4.225226600487984,-0.021123456582201605
11/12/2019,68.0,69.986,4.219507705176107,-0.00571889531187697
11/13/2019,68.010002,69.222,4.219654782594987,0.00014707741888031478
11/14/2019,67.739998,69.870003,4.215676817864972,-0.003977964730014882
11/15/2019,70.010002,70.433998,4.248638117556453,0.03296129969148076
11/18/2019,70.08000200000001,69.998001,4.249637475166948,0.0009993576104951885
11/19/2019,69.639999,71.903999,4.243339100540425,-0.006298374626523717
11/20/2019,70.989998,70.444,4.262538993878312,0.01919989333788763
11/21/2019,69.91999799999999,70.966003,4.247351702743161,-0.015187291135151604
11/22/2019,73.160004,66.608002,4.292648878197349,0.045297175454188654
11/25/2019,74.550003,67.26799799999999,4.311470081452195,0.01882120325484582
11/26/2019,75.160004,65.783997,4.319619227765061,0.008149146312866229
11/27/2019,74.08000200000001,66.258003,4.305145617335764,-0.014473610429297068
11/29/2019,74.5,65.987999,4.310799125385514,0.005653508049749512
12/2/2019,68.93,66.97399899999999,4.23309149689756,-0.07770762848795343
12/3/2019,70.019997,67.239998,4.248780872681618,0.01568937578405727
12/4/2019,69.959999,66.606003,4.247923635856519,-0.0008572368250989726
12/5/2019,69.66999799999999,66.07399699999999,4.243769780335267,-0.0041538555212516926
12/6/2019,62.740002000000004,67.178001,4.138999234640122,-0.10477054569514532
12/9/2019,65.940002,67.905998,4.188745267974189,0.04974603333406691
12/10/2019,64.57,69.76799799999999,4.167749906638376,-0.020995361335812923
12/11/2019,63.52,70.540001,4.1513548169388805,-0.016395089699495102
12/12/2019,62.490002000000004,71.935997,4.135006575946111,-0.016348240992769547
12/13/2019,63.540001000000004,71.678001,4.151669644579488,0.016663068633376632
12/16/2019,66.349998,76.300003,4.194943730635036,0.04327408605554872
12/17/2019,66.16999799999999,75.797997,4.19222715779879,-0.002716572836246378
12/18/2019,67.599998,78.629997,4.213607953463119,0.021380795664328822
12/19/2019,68.18,80.807999,4.222151266709757,0.008543313246637929
12/20/2019,66.93,81.11799599999999,4.203647297112551,-0.018503969597206016
12/23/2019,66.150002,83.844002,4.19192492079528,-0.011722376317270466
12/24/2019,66.459999,85.050003,4.196600247879803,0.0046753270845227846
12/26/2019,67.449997,86.188004,4.211386538176373,0.01478629029656986
12/27/2019,66.639999,86.07599599999999,4.199304982852585,-0.012081555323788074
12/30/2019,66.790001,82.940002,4.201553383709846,0.002248400857260968
12/31/2019,68.040001,83.666,4.220095782224898,0.018542398515052128
1/2/2020,68.720001,86.052002,4.230040292227804,0.009944510002906526
1/3/2020,67.279999,88.601997,4.2088630008014345,-0.021177291426369926
1/6/2020,70.32,90.307999,4.253056253376921,0.044193252575486675
1/7/2020,71.900002,93.811996,4.2752762925434125,0.02222003916649129
1/8/2020,72.550003,98.428001,4.284276020680989,0.008999728137576213
1/9/2020,72.620003,96.26799799999999,4.285240407297122,0.0009643866161335168
1/10/2020,73.089996,95.629997,4.29169150376525,0.006451096468127915
1/13/2020,74.029999,104.97200000000001,4.304470402946969,0.012778899181719261
1/14/2020,73.160004,107.584,4.292648878197349,-0.01182152474962006
1/15/2020,76.940002,103.699997,4.3430259233184305,0.05037704512108121
1/16/2020,76.110001,102.697998,4.332179675418178,-0.010846247900252237
1/17/2020,75.559998,102.099998,4.324927016164277,-0.0072526592539015056
1/21/2020,76.730003,109.440002,4.340292805287709,0.01536578912343245
1/22/2020,75.540001,113.912003,4.32466233052233,-0.01563047476537882
1/23/2020,74.470001,114.440002,4.31039637315078,-0.014265957371550009
1/24/2020,73.0,112.96399699999999,4.290459441148391,-0.01993693200238944
1/27/2020,70.440002,111.603996,4.254761312020964,-0.03569812912742698
1/28/2020,71.510002,113.379997,4.26983732802842,0.015076016007456339
1/29/2020,73.58000200000001,116.197998,4.2983732768579275,0.028535948829507163
1/30/2020,74.540001,128.162003,4.311335907466728,0.012962630608800652
1/31/2020,76.300003,130.113998,4.33467297760889,0.02333707014216202
2/3/2020,87.660004,156.0,4.473465740621508,0.138792763012618
2/4/2020,85.790001,177.412003,4.451902461241244,-0.021563279380264255
2/5/2020,86.989998,146.940002,4.4657931465283,0.013890685287056392
2/6/2020,87.260002,149.792007,4.468892190615472,0.003099044087171876
2/7/2020,88.639999,149.613998,4.484583211717386,0.01569102110191345
2/10/2020,89.66999799999999,154.255997,4.4961362426599525,0.011553030942566878
2/11/2020,88.68,154.87600700000002,4.4850343847481104,-0.011101857911842039
2/12/2020,88.279999,153.457993,4.480513570060942,-0.004520814687168695
2/13/2020,89.860001,160.800003,4.498252914770436,0.017739344709494453
2/14/2020,90.949997,160.005997,4.510309871978974,0.012056957208537611
2/18/2020,96.389999,171.679993,4.568402451421356,0.05809257944238233
2/19/2020,103.93,183.483994,4.6437175956003305,0.07531514417897434
2/20/2020,105.290001,179.882004,4.656718457366246,0.013000861765915417
2/21/2020,101.760002,180.199997,4.6226171192459,-0.03410133812034566
2/24/2020,105.010002,166.757996,4.654055602763707,0.03143848351780676
2/25/2020,107.08000200000001,159.98199499999998,4.673576237329776,0.019520634566069006
2/26/2020,106.879997,155.759995,4.671706681719473,-0.0018695556103027755
2/27/2020,113.550003,135.800003,4.732243294971647,0.06053661325217341
2/28/2020,105.0,133.598007,4.653960350157523,-0.07828294481412357
3/2/2020,113.110001,148.723999,4.7283608053842405,0.07440045522671745
3/3/2020,117.470001,149.102005,4.766182990348606,0.037822184964365846
3/4/2020,116.800003,149.899994,4.760463096079058,-0.00571989426954822
3/5/2020,125.0,144.908005,4.8283137373023015,0.06785064122324336
3/6/2020,114.32,140.695999,4.739001533621612,-0.0893122036806897
3/9/2020,113.75,121.599998,4.7340030578310595,-0.004998475790552348
3/10/2020,108.489998,129.065994,4.6866579843994804,-0.04734507343157901
3/11/2020,110.300003,126.846001,4.703203953458006,0.016545969058525678
3/12/2020,109.470001,112.110001,4.695650548251389,-0.007553405206617292
3/13/2020,107.470001,109.32399699999999,4.677211748157984,-0.018438800093404595
3/16/2020,107.860001,89.014,4.680834099180358,0.0036223510223738487
3/17/2020,111.099998,86.040001,4.710430678643784,0.02959657946342631
3/18/2020,118.709999,72.244003,4.776683535641553,0.06625285699776828
3/19/2020,123.769997,85.52799999999999,4.818424980313424,0.04174144467187091
3/20/2020,130.550003,85.505997,4.871756318124839,0.0533313378114153
3/23/2020,159.559998,86.858002,5.072420014502736,0.20066369637789716
3/24/2020,135.179993,101.0,4.906607171889399,-0.16581284261333717
3/25/2020,138.110001,107.849998,4.9280504763304425,0.021443304441043587
3/26/2020,141.149994,105.63200400000001,4.9498231121915275,0.02177263586108502
3/27/2020,151.699997,102.872002,5.021904866578613,0.07208175438708508
3/30/2020,150.880005,100.42600300000001,5.016484852024065,-0.00542001455454777
3/31/2020,146.119995,104.800003,4.98442816770863,-0.0320566843154344
4/1/2020,137.0,96.311996,4.919980925828125,-0.06444724188050532
4/2/2020,121.93,90.893997,4.803447109572174,-0.11653381625595127
4/3/2020,128.199997,96.001999,4.853591521085633,0.050144411513459275
4/6/2020,122.940002,103.248001,4.811696447746962,-0.041895073338671374
4/7/2020,113.75,109.089996,4.7340030578310595,-0.07769338991590224
4/8/2020,117.809998,109.76799799999999,4.76907314028154,0.03507008245048038
4/9/2020,124.510002,114.599998,4.824386050027288,0.055312909745747874
4/13/2020,135.919998,130.190002,4.912066462649139,0.08768041262185111
4/14/2020,141.889999,141.977997,4.955052102471509,0.042985639822370025
4/15/2020,151.559998,145.966003,5.020981572954306,0.06592947048279729
4/16/2020,150.259995,149.042007,5.012367093665358,-0.008614479288947763
4/17/2020,150.059998,150.778,5.01103520078958,-0.0013318928757781734
4/20/2020,148.990005,149.272003,5.003879223158546,-0.007155977631033927
4/21/2020,143.270004,137.34399399999998,4.964730989824593,-0.03914823333395301
4/22/2020,150.25,146.421997,5.012300573415317,0.047569583590723497
4/23/2020,169.08999599999999,141.12600700000002,5.1304310938942965,0.11813052047897976
4/24/2020,158.800003,145.029999,5.067645567704723,-0.06278552618957356
4/27/2020,164.600006,159.75,5.103518324694973,0.03587275699025039
4/28/2020,156.720001,153.824005,5.0544607800170915,-0.049057544677881815
4/29/2020,146.479996,160.102005,4.986888873058772,-0.06757190695831916
4/30/2020,135.169998,156.37600700000002,4.906533230699553,-0.0803556423592191
5/1/2020,138.559998,140.26400800000002,4.931303430379945,0.024770199680391514
5/4/2020,143.440002,152.238007,4.96591684323999,0.034613412860045045
5/5/2020,144.820007,153.641998,4.975491640296538,0.009574797056548512
5/6/2020,149.58999599999999,156.516006,5.007898191646614,0.03240655135007575
5/7/2020,157.800003,156.007996,5.061328427423181,0.0534302357765668
5/8/2020,155.399994,163.884003,5.046002399323507,-0.01532602809967365
5/11/2020,166.479996,162.257996,5.114875158058468,0.0688727587349609
5/12/2020,161.03999299999998,161.882004,5.081652737864074,-0.03322242019439425
5/13/2020,167.139999,158.192001,5.118831778590282,0.03717904072620826
5/14/2020,167.91000400000001,160.666,5.123428145393664,0.004596366803381713
5/15/2020,174.830002,159.834,5.163814084649242,0.040385939255577874
5/18/2020,164.690002,162.725998,5.104064931030145,-0.05974915361909705
5/19/2020,173.679993,161.602005,5.157214485266028,0.0531495542358833
5/20/2020,175.479996,163.112,5.167525053503392,0.010310568237364315
5/21/2020,172.029999,165.520004,5.147668874396008,-0.01985617910738391
5/22/2020,171.059998,163.37600700000002,5.1420143604608315,-0.005654513935176908
5/26/2020,164.0,163.774002,5.099866427824199,-0.042147932636632746
5/27/2020,161.970001,164.046005,5.087411139072288,-0.012455288751910487
5/28/2020,163.550003,161.162003,5.097118772327407,0.009707633255119141
5/29/2020,179.479996,167.0,5.190063758821177,0.09294498649376948
6/1/2020,204.149994,179.619995,5.31885498837543,0.12879122955425348
6/2/2020,208.080002,176.311996,5.337922630752084,0.019067642376653815
6/3/2020,223.86999500000002,176.591995,5.4110655039054,0.07314287315331569
6/4/2020,210.350006,172.87600700000002,5.348772838560418,-0.06229266534498201
6/5/2020,207.600006,177.132004,5.335613180193468,-0.013159658366950211
6/8/2020,209.830002,189.983994,5.3462976885981295,0.010684508404661841
6/9/2020,205.429993,188.134003,5.325105309229552,-0.02119237936857754
6/10/2020,221.020004,205.009995,5.3982532132585455,0.07314790402899352
6/11/2020,222.07000699999998,194.567993,5.40299267900776,0.0047394657492141334
6/12/2020,219.520004,187.05599999999998,5.3914433627590945,-0.011549316248665065
6/15/2020,239.020004,198.179993,5.476547247173736,0.08510388441464123
6/16/2020,242.559998,196.425995,5.491249094208624,0.014701847034888083
6/17/2020,236.75999500000003,198.358002,5.467046948704092,-0.024202145504531813
6/18/2020,241.57000699999998,200.792007,5.487159315142333,0.02011236643824077
